parmoeda,frequencia,datetime,timestamp,GEP,vela1,vela2,vela3,operacao,ultima_vela,vela_abertura
EURUSD,276.65,2023-08-01 23:45:50.315042,23:45:50,NEUTRO,2.0,1.0,0.0,CALL,1.098585,1.098565
EURGBP,278.03,2023-08-01 23:45:50.315042,23:45:50,ALTA,2.0,0.0,5.0,PUT,0.86011,0.860045
EURJPY,324.14,2023-08-01 23:46:49.592336,23:46:50,ALTA,2.0,1.0,1.0,CALL,157.3535,157.332
EURGBP,278.03,2023-08-01 23:46:49.592336,23:46:50,NEUTRO,0.0,5.0,5.0,CALL,0.86013,0.86008
EURUSD,276.65,2023-08-01 23:47:49.905226,23:47:50,NEUTRO,4.0,1.0,0.0,PUT,1.098655,1.098665
EURJPY,324.14,2023-08-01 23:47:49.905226,23:47:50,NEUTRO,1.0,5.0,0.0,PUT,157.3545,157.3615
EURGBP,278.03,2023-08-01 23:47:49.905226,23:47:50,ALTA,1.0,0.0,5.0,CALL,0.86014,0.86015
EURUSD,276.65,2023-08-01 23:48:50.174081,23:48:50,NEUTRO,2.0,5.0,4.0,PUT,1.0986,1.098665
EURJPY,324.14,2023-08-01 23:48:50.174081,23:48:50,NEUTRO,4.0,1.0,0.0,PUT,157.329,157.3545
EURUSD,276.65,2023-08-01 23:49:50.230123,23:49:50,NEUTRO,2.0,0.0,1.0,PUT,1.098485,1.09861
EURJPY,324.14,2023-08-01 23:49:50.230123,23:49:50,ALTA,5.0,5.0,5.0,PUT,157.3935,157.332
EURGBP,278.03,2023-08-01 23:49:50.230123,23:49:50,NEUTRO,4.0,2.0,2.0,CALL,0.860105,0.86014
EURUSD,276.65,2023-08-01 23:50:49.448721,23:50:50,NEUTRO,0.0,0.0,0.0,CALL,1.09838,1.098515
EURJPY,324.14,2023-08-01 23:50:49.448721,23:50:50,NEUTRO,0.0,0.0,1.0,PUT,157.347,157.3265
